Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
AAIT,iShares MSCI All Country Asia Information Technology Index Fun,31.41,6282000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aait
AAL,"American Airlines Group, Inc.",32.97,23741790173,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,3.94,81581549.38,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aame
AAOI,"Applied Optoelectronics, Inc.",15.11,223705438.8,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",17.95,987468882.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AAPL,Apple Inc.,96.26,5.76392E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AAVL,"Avalanche Biotechnologies, Inc.",30.41,676843824,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aavl
AAWW,Atlas Air Worldwide Holdings,32.935,831883625.5,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,60.1,2620360000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
ABAC,"Aoxin Tianli Group, Inc.",2.1,58302300,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
ABAX,"ABAXIS, Inc.",48.1,1083377368,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABCB,Ameris Bancorp,23.84,637444361.9,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
ABCD,"Cambium Learning Group, Inc.",1.48,66466612.04,n/a,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd
ABCO,The Advisory Board Company,50.28,1824941008,n/a,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco
ABDC,Alcentra Capital Corp.,12.49,168824407.3,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ABGB,"Abengoa, S.A.",18.93,3179368160,n/a,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
ABIO,"ARCA biopharma, Inc.",1.13,23742220.95,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",22.88,925804445.3,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABTL,Autobytel Inc.,9.19,82974056.27,n/a,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ABY,Abengoa Yield plc,30.92,2473600000,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
